Local time,Open,High,Low,Close,Volume
12.11.2015 17:00:00.000 GMT-0500,41.56,42.152,40.174,40.704,1.1538
15.01.2015 17:00:00.000 GMT-0500,46.649,49.308,46.649,48.89,55.1424
24.02.2015 17:00:00.000 GMT-0500,49.046,51.236,48.422,50.988,0.9072
02.01.2014 17:00:00.000 GMT-0500,95.438,95.702,93.834,94.201,0.116
26.10.2015 16:00:00.000 GMT-0500,43.685,43.828,42.576,43.383,1.0312
06.07.2017 16:00:00.000 GMT-0500,45.265,45.385,43.755,44.27,141.63809999999998
16.09.2013 16:00:00.000 GMT-0500,106.12,106.43,104.94,105.54,133558.0
17.02.2017 17:00:00.000 GMT-0500,53.345,53.345,53.345,53.345,0.0
29.05.2014 16:00:00.000 GMT-0500,103.558,103.579,102.389,102.837,163.22740000000002
13.05.2016 16:00:00.000 GMT-0500,46.302,46.302,46.302,46.302,0.0
23.01.2013 17:00:00.000 GMT-0500,95.53,96.68,95.12,95.98,171957.0
24.07.2014 16:00:00.000 GMT-0500,102.065,102.498,101.021,101.943,559.42
25.04.2013 16:00:00.000 GMT-0500,93.289,93.569,92.068,92.87,0.0
03.07.2015 16:00:00.000 GMT-0500,55.588,55.588,55.588,55.588,0.0
18.12.2013 17:00:00.000 GMT-0500,97.596,99.188,97.543,98.591,0.0058
22.08.2014 16:00:00.000 GMT-0500,93.339,93.339,93.339,93.339,0.0
12.09.2014 16:00:00.000 GMT-0500,92.257,92.257,92.257,92.257,0.0
21.03.2015 16:00:00.000 GMT-0500,46.417,46.417,46.417,46.417,0.0
25.08.2013 16:00:00.000 GMT-0500,107.067,107.109,106.32,106.455,0.0177
14.12.2015 17:00:00.000 GMT-0500,36.124,37.82,35.999,36.72,2.0595000000000003
15.02.2017 17:00:00.000 GMT-0500,52.97,53.555,52.655,53.425,1.7908
14.06.2014 16:00:00.000 GMT-0500,104.427,104.427,104.427,104.427,0.0
18.04.2017 16:00:00.000 GMT-0500,52.3,52.6,50.06,50.455,0.9242
29.07.2015 16:00:00.000 GMT-0500,48.86,49.329,48.327,48.438,0.8731999999999999
05.03.2014 17:00:00.000 GMT-0500,100.925,102.05,100.149,101.916,36.340700000000005
04.07.2013 16:00:00.000 GMT-0500,101.078,103.46,100.879,103.457,3.7718
19.03.2013 16:00:00.000 GMT-0500,92.1,93.27,92.0,93.166,0.0
12.11.2013 17:00:00.000 GMT-0500,93.042,94.512,92.913,93.516,0.1284
02.10.2015 16:00:00.000 GMT-0500,45.595,45.595,45.595,45.595,0.0
17.12.2013 17:00:00.000 GMT-0500,97.313,97.965,97.015,97.662,0.0199
11.04.2016 16:00:00.000 GMT-0500,40.312,42.219,40.064,41.597,3.1476
22.12.2016 17:00:00.000 GMT-0500,52.64,53.205,52.239,53.185,0.7979999999999999
05.12.2016 17:00:00.000 GMT-0500,50.965,51.565,50.264,50.89,0.6936
27.08.2013 16:00:00.000 GMT-0500,108.916,112.2,108.904,109.56,13825.193
28.09.2013 16:00:00.000 GMT-0500,103.19,103.19,103.19,103.19,0.0
23.09.2014 16:00:00.000 GMT-0500,91.719,92.107,91.105,91.658,5.1814
28.09.2015 16:00:00.000 GMT-0500,44.414,45.678,44.344,44.849,1.872
15.08.2016 16:00:00.000 GMT-0500,45.519,46.699,45.319,46.391,1.3205
11.09.2014 16:00:00.000 GMT-0500,93.126,93.638,91.946,92.257,1.1554
03.12.2016 17:00:00.000 GMT-0500,51.605,51.605,51.605,51.605,0.0
08.12.2014 17:00:00.000 GMT-0500,62.998,64.099,62.228,63.396,44.68250000000001
11.03.2013 16:00:00.000 GMT-0500,91.98,93.45,91.598,92.61,0.0
07.07.2013 16:00:00.000 GMT-0500,103.535,103.946,102.104,102.877,3.5003000000000006
08.08.2014 16:00:00.000 GMT-0500,97.508,97.508,97.508,97.508,0.0
29.03.2014 16:00:00.000 GMT-0500,101.588,101.588,101.588,101.588,0.0
01.01.2016 17:00:00.000 GMT-0500,37.494,37.494,37.494,37.494,0.0
23.01.2016 17:00:00.000 GMT-0500,32.207,32.207,32.207,32.207,0.0
27.10.2013 16:00:00.000 GMT-0500,97.794,98.025,97.471,97.96,0.3244999999999999
21.09.2014 16:00:00.000 GMT-0500,91.676,91.89,90.389,90.698,74.40750000000001
05.11.2016 16:00:00.000 GMT-0500,44.095,44.095,44.095,44.095,0.0
30.07.2014 16:00:00.000 GMT-0500,99.54,99.717,97.612,97.64,396.5
23.05.2017 16:00:00.000 GMT-0500,51.45,51.845,51.015,51.26,7.489900000000001
26.02.2015 17:00:00.000 GMT-0500,48.956,49.899,48.449,49.357,0.7759
09.08.2017 16:00:00.000 GMT-0500,49.61,50.185,48.325,48.475,34.90339999999999
24.02.2014 17:00:00.000 GMT-0500,102.774,102.839,101.008,102.018,0.2099
15.02.2014 17:00:00.000 GMT-0500,100.329,100.329,100.329,100.329,0.0
02.10.2013 16:00:00.000 GMT-0500,103.739,104.37,103.16,103.46,0.0229
18.02.2013 17:00:00.000 GMT-0500,95.55,96.73,95.32,96.7,78331.0
25.04.2016 16:00:00.000 GMT-0500,42.944,44.798,42.482,44.627,1.855
29.01.2014 17:00:00.000 GMT-0500,97.447,98.569,97.338,98.058,107.42
22.06.2013 16:00:00.000 GMT-0500,93.844,93.844,93.844,93.844,0.0
07.04.2014 16:00:00.000 GMT-0500,100.768,102.676,100.664,102.32,414.544
29.07.2017 16:00:00.000 GMT-0500,49.695,49.695,49.695,49.695,0.0
02.06.2014 16:00:00.000 GMT-0500,102.448,102.82,102.205,102.818,58.8875
15.04.2017 16:00:00.000 GMT-0500,52.865,52.865,52.865,52.865,0.0
19.02.2016 17:00:00.000 GMT-0500,29.587,29.587,29.587,29.587,0.0
15.05.2013 16:00:00.000 GMT-0500,94.398,94.42,93.388,93.388,0.0
12.07.2015 16:00:00.000 GMT-0500,51.898,53.15,51.252,52.039,1.5521000000000005
29.03.2015 16:00:00.000 GMT-0500,48.548,49.119,47.585,48.727,9.197599999999998
10.03.2013 16:00:00.000 GMT-0500,91.827,92.14,90.888,91.969,0.0
03.04.2016 16:00:00.000 GMT-0500,36.56,37.176,35.404,35.437,2.4710999999999994
23.03.2017 16:00:00.000 GMT-0500,47.645,48.165,47.525,48.105,0.4371
19.06.2017 16:00:00.000 GMT-0500,44.3,44.655,42.915,43.32,23.4352
07.12.2014 17:00:00.000 GMT-0500,65.419,65.498,62.757,63.0,40.1801
20.11.2013 17:00:00.000 GMT-0500,93.697,95.556,93.434,95.204,0.1005
06.07.2015 16:00:00.000 GMT-0500,52.688,53.413,50.577,52.918,2.9136
14.05.2015 16:00:00.000 GMT-0500,59.697,59.877,58.396,59.659,2.1076
06.03.2013 17:00:00.000 GMT-0500,90.389,91.71,90.208,91.439,0.0
31.12.2016 17:00:00.000 GMT-0500,53.795,53.795,53.795,53.795,0.0
16.04.2017 16:00:00.000 GMT-0500,52.855,53.175,52.515,52.715,3.232999999999999
03.02.2015 17:00:00.000 GMT-0500,51.58,52.54,47.936,48.506,1.0665
27.08.2017 16:00:00.000 GMT-0500,48.025,48.045,46.125,46.78,11.3588
28.07.2015 16:00:00.000 GMT-0500,47.747,49.49,47.377,48.868,0.9465
21.03.2016 16:00:00.000 GMT-0500,41.568,41.837,40.744,41.165,2.442
11.11.2014 17:00:00.000 GMT-0500,77.459,78.06,76.609,76.946,43.6671
12.11.2016 17:00:00.000 GMT-0500,43.155,43.155,43.155,43.155,0.0
29.01.2013 17:00:00.000 GMT-0500,97.32,98.24,97.31,98.01,161164.0
17.05.2016 16:00:00.000 GMT-0500,48.501,48.917,47.727,47.853,1.0325
29.01.2015 17:00:00.000 GMT-0500,44.409,48.329,44.3,47.688,41.5416
10.12.2013 17:00:00.000 GMT-0500,98.49,98.718,97.191,97.376,0.115
28.07.2016 16:00:00.000 GMT-0500,41.077,41.639,40.547,41.41,1.0318
03.09.2014 16:00:00.000 GMT-0500,95.077,95.362,94.145,94.506,135.8476
30.01.2013 17:00:00.000 GMT-0500,98.03,98.05,96.84,97.41,173298.0
12.02.2014 17:00:00.000 GMT-0500,99.739,100.637,99.398,100.327,7.146100000000001
21.08.2014 16:00:00.000 GMT-0500,93.879,94.016,92.916,93.339,18.237
10.01.2016 17:00:00.000 GMT-0500,32.918,33.17,30.856,31.087,2.7164
16.10.2013 16:00:00.000 GMT-0500,101.746,102.007,100.097,100.446,0.1699999999999999
27.01.2017 17:00:00.000 GMT-0500,53.08,53.08,53.08,53.08,0.0
15.05.2016 16:00:00.000 GMT-0500,46.252,47.91,46.119,47.866,1.0765999999999998
16.01.2017 17:00:00.000 GMT-0500,52.495,53.485,52.21,52.495,0.6631
31.03.2015 16:00:00.000 GMT-0500,47.608,50.42,46.386,49.558,7.896799999999999
09.04.2013 16:00:00.000 GMT-0500,93.949,94.8,93.399,94.58,0.0
28.11.2013 17:00:00.000 GMT-0500,92.259,93.844,92.091,92.751,0.065
01.08.2015 16:00:00.000 GMT-0500,46.759,46.759,46.759,46.759,0.0
18.06.2016 16:00:00.000 GMT-0500,48.1,48.1,48.1,48.1,0.0
10.03.2016 17:00:00.000 GMT-0500,37.952,38.988,37.893,38.553,2.667
04.07.2016 16:00:00.000 GMT-0500,48.681,48.708,46.306,46.84,0.9584
13.08.2014 16:00:00.000 GMT-0500,97.325,97.548,95.235,95.457,14.4014
21.01.2016 17:00:00.000 GMT-0500,29.798,32.307,29.51,32.207,3.4659
09.02.2014 17:00:00.000 GMT-0500,99.238,100.518,99.227,99.916,107.32
20.09.2015 16:00:00.000 GMT-0500,44.811,46.702,44.696,46.449,1.241
22.10.2014 16:00:00.000 GMT-0500,80.367,82.335,80.029,81.95,50.0287
13.06.2014 16:00:00.000 GMT-0500,104.427,104.427,104.427,104.427,0.0
24.02.2017 17:00:00.000 GMT-0500,54.01,54.01,54.01,54.01,0.0
13.07.2016 16:00:00.000 GMT-0500,45.091,45.765,44.935,45.461,0.4079
18.06.2014 16:00:00.000 GMT-0500,106.524,106.685,105.285,106.624,535.9200000000001
22.07.2013 16:00:00.000 GMT-0500,106.967,107.408,105.435,107.368,2.9291
01.05.2014 16:00:00.000 GMT-0500,99.266,100.106,99.155,99.91,0.246
