id,date,store_nbr,item_nbr,unit_sales,onpromotion
75721,2013-01-03,46,657869,10.0,
80184,2013-01-03,50,655427,9.0,
19864,2013-01-02,25,162066,7.0,
76699,2013-01-03,47,464336,10.0,
92991,2013-01-04,11,793341,2.0,
76434,2013-01-03,47,252972,23.0,
84004,2013-01-04,2,838215,14.0,
80917,2013-01-03,51,314384,44.0,
60767,2013-01-03,25,172184,2.0,
50074,2013-01-03,8,564288,16.0,
27701,2013-01-02,37,668754,1.0,
42141,2013-01-02,54,940590,1.0,
45080,2013-01-03,3,847863,5.0,
16638,2013-01-02,18,457556,4.0,
20424,2013-01-02,25,864510,10.0,
88702,2013-01-04,7,121964,1.0,
149,2013-01-01,25,363868,2.0,
1761,2013-01-02,2,260893,6.0,
63120,2013-01-03,28,260893,1.0,
69161,2013-01-03,38,557810,3.0,
64883,2013-01-03,31,841612,7.0,
2495,2013-01-02,2,940585,1.0,
80296,2013-01-03,50,795610,6.0,
19447,2013-01-02,24,812716,1.0,
41331,2013-01-02,51,847569,1.0,
14888,2013-01-02,16,215303,3.0,
88636,2013-01-04,6,1089844,4.0,
94892,2013-01-04,14,471980,6.0,
92731,2013-01-04,11,457928,41.541,
29130,2013-01-02,38,1075283,1.0,
79022,2013-01-03,49,567644,9.0,
84936,2013-01-04,3,587186,46.0,
16821,2013-01-02,18,663084,4.0,
36733,2013-01-02,47,813167,24.0,
15602,2013-01-02,17,212552,15.0,
28533,2013-01-02,38,418235,4.0,
69769,2013-01-03,39,168931,4.0,
11405,2013-01-02,11,413987,14.0,
96852,2013-01-04,17,358100,4.0,
16130,2013-01-02,17,906980,3.0,
19792,2013-01-02,24,1094235,1.0,
89577,2013-01-04,7,1047680,59.0,
40163,2013-01-02,50,796395,14.0,
31776,2013-01-02,43,253145,1.0,
25330,2013-01-02,33,464339,7.0,
79156,2013-01-03,49,723210,4.0,
51685,2013-01-03,9,1113872,19.0,
75498,2013-01-03,46,414455,7.0,
4727,2013-01-02,4,913363,24.0,
85198,2013-01-04,3,847894,11.0,
35795,2013-01-02,46,1004550,8.0,
12256,2013-01-02,12,364738,30.0,
35718,2013-01-02,46,938576,21.0,
70551,2013-01-03,39,1047682,10.0,
54374,2013-01-03,13,841842,24.0,
39691,2013-01-02,50,315279,3.0,
93702,2013-01-04,12,686034,1.0,
73691,2013-01-03,44,938129,4.0,
98070,2013-01-04,18,999545,10.0,
575,2013-01-01,25,1105214,1.0,
84610,2013-01-04,3,315320,10.0,
